id_str,created_at,username,user_id_str,lang,location,quote_count,reply_count,retweet_count,favorite_count,tweet_url,mentions,mention_count,source,target,clean_text,full_text,label,,,,,
1.88E+18,2025-01-28 00:04:10+00:00,hesti_wastt,1.71E+18,in,,0,0,0,0,https://x.com/hesti_wastt/status/1884029667235225850,,0,hesti_wastt,,kemajuan ekonomi prabowo membuktikan kerja nyata dampaknya nyata,Kemajuan ekonomi dalam 100 hari Prabowo membuktikan kerja nyata. Dampaknya nyata terasa #100HariKerjaNyata,positive,,,jumlah_positive,1097,26.16889313
1.88E+18,2025-01-28 00:23:05+00:00,nadine_halimah,1.70E+18,in,,0,0,0,0,https://x.com/nadine_halimah/status/1884034425991930211,,0,nadine_halimah,,kerja cerdas prabowo sukses dukung pertumbuhan ekonomi,Kerja cerdas Prabowo selama 100 hari sukses dukung pertumbuhan ekonomi #100HariKerjaNyata,positive,,,jumlah_negative,2003,47.78148855
1.88E+18,2025-01-28 00:29:43+00:00,shania_usamah,1.71E+18,in,,0,0,0,0,https://x.com/shania_usamah/status/1884036094951579716,,0,shania_usamah,,kinerja prabowo bawa angin segar optimisme indonesia maju,Kinerja 100 hari Prabowo bawa angin segar optimisme Indonesia lebih maju #100HariKerjaNyata,positive,,,jumlah_neutral,1092,26.04961832
1.88E+18,2025-01-28 00:49:29+00:00,umaya_laksita,1.70E+18,in,,0,0,0,0,https://x.com/umaya_laksita/status/1884041070453100938,,0,umaya_laksita,,prabowo pacu pencapaian ekonomi indonesia efektif,Prabowo pacu pencapaian ekonomi Indonesia dengan efektif dalam 100 hari ini #100HariKerjaNyata,positive,,,total_jumla,4192,
1.88E+18,2025-01-28 00:53:00+00:00,raina_nur89,1.70E+18,in,,0,0,0,0,https://x.com/raina_nur89/status/1884041953119199727,,0,raina_nur89,,dampak signifikan prabowo kestabilan ekonomi,Dampak signifikan dari 100 hari Prabowo bagi kestabilan ekonomi kita #100HariKerjaNyata,positive,,,,,
1.88E+18,2025-01-28 01:04:24+00:00,ranti_anjani6,1.71E+18,in,,0,0,0,0,https://x.com/ranti_anjani6/status/1884044822379651179,,0,ranti_anjani6,,optimisme berkat perubahan prabowo penuh dedikasi,Optimisme terasa berkat perubahan Prabowo dalam 100 hari penuh dedikasi #100HariKerjaNyata,positive,,,,,
1.88E+18,2025-01-28 01:42:08+00:00,indra_mahen4,1.84E+18,in,,0,0,0,0,https://x.com/indra_mahen4/status/1884054317839347829,,0,indra_mahen4,,optimisme menular kinerja prabowo berdampak nyata,Optimisme menular dari kinerja 100 hari Prabowo yang berdampak nyata #100HariKerjaNyata,positive,,,,,
1.88E+18,2025-01-28 01:43:10+00:00,martaka_kusuma,1.71E+18,in,,0,0,0,0,https://x.com/martaka_kusuma/status/1884054580172120533,,0,martaka_kusuma,,strategi matang prabowo kontribusi pertumbuhan ekonomi,Dengan strategi yang matang 100 hari Prabowo kontribusi bagi pertumbuhan ekonomi #100HariKerjaNyata,positive,,,,,
1.88E+18,2025-01-28 01:43:58+00:00,hazmah_harim,1.69E+18,in,,0,0,0,0,https://x.com/hazmah_harim/status/1884054782815641735,,0,hazmah_harim,,prabowo kunci keberhasilan ekonomi pertamanya,Prabowo kunci keberhasilan ekonomi di 100 hari pertamanya #100HariKerjaNyata,positive,,,,,
1.88E+18,2025-01-28 01:47:57+00:00,feni_iskandar4,1.71E+18,in,,0,0,0,0,https://x.com/feni_iskandar4/status/1884055785208176932,,0,feni_iskandar4,,kepemimpinan prabowo hadirkan stabilitas pertumbuhan ekonomi nyata,Kepemimpinan Prabowo hadirkan stabilitas dan pertumbuhan ekonomi nyata dalam 100 hari ini #100HariKerjaNyata,positive,,,,,
1.88E+18,2025-01-28 01:49:28+00:00,jinawi_kuswoyo,1.70E+18,in,,0,0,0,0,https://x.com/jinawi_kuswoyo/status/1884056165644153254,,0,jinawi_kuswoyo,,prabowo mendorong ekonomi bangsa era maju,Prabowo 100 hari mendorong ekonomi bangsa menuju era baru yang lebih maju #100HariKerjaNyata,positive,,,,,
1.88E+18,2025-01-28 02:20:54+00:00,Dandhy_Laksono,159919812,in,,7,33,340,1099,https://x.com/Dandhy_Laksono/status/1884064075870822694,Jateng_Twit,1,Dandhy_Laksono,Jateng_Twit,MENTIONEDUSER kerusakan sistemik institusi dipoles citra kabaikankebaikan individu dimakan masyarakat indonesia kebijakan ekonomi politik menghasilkan kemiskinan struktural solusinya dikasih bansos makan gratis bagibagi kaos dipilih,@Jateng_Twit Kerusakan sistemik di institusi hendak dipoles dengan (citra) kabaikan-kebaikan individu. Tapi cara ini dimakan masyarakat Indonesia. Kebijakan ekonomi politik menghasilkan kemiskinan struktural lalu solusinya dikasih bansos makan gratis dan bagi-bagi kaos. Dan dipilih.,negative,,,,,
1.88E+18,2025-01-28 03:22:08+00:00,gibran_raihan21,1.68E+18,in,,0,0,0,0,https://x.com/gibran_raihan21/status/1884079484196069541,,0,gibran_raihan21,,keberhasilan prabowo momentum percepatan pembangunan ekonomi,Keberhasilan Prabowo dalam 100 hari jadi momentum percepatan pembangunan ekonomi #100HariKerjaNyata,positive,,,,,
1.88E+18,2025-01-28 03:32:04+00:00,salsa_hanifah15,1.69E+18,in,,0,0,0,0,https://x.com/salsa_hanifah15/status/1884081986484199484,,0,salsa_hanifah15,,program pemerintah prabowo merangsang pertumbuhan ekonomi inklusif,Program pemerintah Prabowo selama 100 hari terakhir telah merangsang pertumbuhan ekonomi yang lebih inklusif #100HariKerjaNyata,positive,,,,,
1.88E+18,2025-01-28 03:35:35+00:00,alii_mhmmd157,1.49E+18,in,,0,0,0,0,https://x.com/alii_mhmmd157/status/1884082870765117831,,0,alii_mhmmd157,,kemajuan signifikan sektor ekonomi maritim hasil kinerja prabowo inspiratif,Kemajuan signifikan di sektor ekonomi maritim menjadi hasil lain dari kinerja 100 hari Prabowo yang inspiratif #100HariKerjaNyata,positive,,,,,
1.88E+18,2025-01-28 03:38:52+00:00,angle_mahni,1.69E+18,in,,0,0,0,0,https://x.com/angle_mahni/status/1884083697051402702,,0,angle_mahni,,prabowo memperkuat strategi diplomasi ekonomi membuka peluang investasi,100 hari Prabowo memperkuat strategi diplomasi ekonomi yang membuka banyak peluang investasi #100HariKerjaNyata,positive,,,,,
1.88E+18,2025-01-28 03:43:37+00:00,aldy_wijaya09,1.70E+18,in,,0,0,0,0,https://x.com/aldy_wijaya09/status/1884084890435739774,GenZNusantara,1,aldy_wijaya09,GenZNusantara,MENTIONEDUSER energi ekonomi merata langkah prabowogibran bukti indonesia berdaya saing,@GenZNusantara Kini energi dan ekonomi merata! Langkah Prabowo-Gibran bukti Indonesia lebih berdaya saing,positive,,,,,
1.88E+18,2025-01-28 03:46:06+00:00,nova_astari12,1.84E+18,in,,0,0,0,0,https://x.com/nova_astari12/status/1884085518121722206,,0,nova_astari12,,prabowo fokus pertumbuhan ekonomi berkelanjutan,Selama 100 hari Prabowo fokus pada pertumbuhan ekonomi yang berkelanjutan #100HariKerjaNyata,positive,,,,,
1.88E+18,2025-01-28 03:50:32+00:00,AliyaSanta,1.54E+18,in,,0,0,0,0,https://x.com/AliyaSanta/status/1884086631763959894,,0,AliyaSanta,,prabowo penuh langkah strategis memperkuat ekonomi kreatif tulang punggung negara,100 hari Prabowo penuh dengan langkah strategis untuk memperkuat ekonomi kreatif sebagai tulang punggung negara #100HariKerjaNyata,positive,,,,,
1.88E+18,2025-01-28 03:53:07+00:00,zeky_arijal,1.69E+18,in,,0,0,0,0,https://x.com/zeky_arijal/status/1884087284007596513,,0,zeky_arijal,,kepemimpinan prabowo membangkitkan optimisme kestabilan politik pertumbuhan ekonomi,100 hari kepemimpinan Prabowo telah membangkitkan optimisme baru terhadap kestabilan politik dan pertumbuhan ekonomi #100HariKerjaNyata,positive,,,,,
1.88E+18,2025-01-28 03:57:59+00:00,suryarahmat_,1.84E+18,in,,0,0,0,0,https://x.com/suryarahmat_/status/1884088507993604551,,0,suryarahmat_,,prabowo menghadirkan solusi inovatif tantangan sosial ekonomi,100 hari Prabowo menghadirkan solusi inovatif untuk berbagai tantangan sosial dan ekonomi #100HariKerjaNyata,positive,,,,,
1.88E+18,2025-01-28 04:03:41+00:00,hendra_kusu2001,1.81E+18,in,,0,0,0,0,https://x.com/hendra_kusu2001/status/1884089943775130080,,0,hendra_kusu2001,,kepemimpinan prabowo membuktikan komitmennya mengangkat ekonomi kesejahteraan masyarakat indonesia,100 hari kepemimpinan Prabowo makin membuktikan komitmennya mengangkat ekonomi dan kesejahteraan masyarakat Indonesia #100HariKerjaNyata,positive,,,,,
1.88E+18,2025-01-28 04:05:45+00:00,SalmaAfifa27529,1.82E+18,in,,0,0,0,0,https://x.com/SalmaAfifa27529/status/1884090461939515894,,0,SalmaAfifa27529,,masanya prabowo mendefinisikan ulang peran strategis umkm pertumbuhan ekonomi,100 hari masanya Prabowo mendefinisikan ulang peran strategis UMKM terhadap pertumbuhan ekonomi #100HariKerjaNyata,positive,,,,,
1.88E+18,2025-01-28 04:24:10+00:00,halidd_hamdan,1.69E+18,in,,0,0,0,0,https://x.com/halidd_hamdan/status/1884095097152889198,,0,halidd_hamdan,,prabowo memperkokoh fondasi ekonomi kreatif penggerak ekonomi,Dalam 100 hari Prabowo memperkokoh fondasi ekonomi kreatif yang jadi penggerak ekonomi baru #100HariKerjaNyata,positive,,,,,
1.88E+18,2025-01-28 05:04:17+00:00,daniel_jayadi12,1.70E+18,in,,0,0,0,0,https://x.com/daniel_jayadi12/status/1884105192985289097,GenZNusantara,1,daniel_jayadi12,GenZNusantara,MENTIONEDUSER pemerintahan serius bangun ekonomi adil,@GenZNusantara Di 100 hari pertama pemerintahan ini serius bangun ekonomi yang adil buat semuanya,positive,,,,,
1.88E+18,2025-01-28 05:32:07+00:00,Xsvsh404,8.72E+17,in,AnonWorld,0,0,0,0,https://x.com/Xsvsh404/status/1884112198185935311,,0,Xsvsh404,,bren bmri penekan terbesar ihsg mencapai indeks poin wait and see fokus kebijakan moneter diarahkan memperkuat stabilitas nilai tukar rupiah dampak tingginya ketidakpastian perekonomian global akibat arah kebijakan as,$BREN $BMRI masih jadi penekan terbesar IHSG masing mencapai 14 3 dan 11 2 indeks poin. wait and see fokus kebijakan moneter diarahkan untuk memperkuat stabilitas nilai tukar Rupiah dari dampak makin tingginya ketidakpastian perekonomian global akibat arah kebijakan AS,neutral,,,,,
1.88E+18,2025-01-28 05:36:38+00:00,Xsvsh404,8.72E+17,in,AnonWorld,0,0,0,0,https://x.com/Xsvsh404/status/1884113335114949011,gg_02022020,1,Xsvsh404,gg_02022020,MENTIONEDUSER gue pusing mikirin kebijakan moneter diarahkan memperkuat stabilitas nilai tukar rupiah dampak tingginya ketidakpastian perekonomian global akibat arah kebijakan usa,@gg_02022020 gue malah pusing mikirin kebijakan moneter diarahkan untuk memperkuat stabilitas nilai tukar Rupiah dari dampak makin tingginya ketidakpastian perekonomian global akibat arah kebijakan USA,neutral,,,,,
1.88E+18,2025-01-28 05:44:46+00:00,Xsvsh404,8.72E+17,in,AnonWorld,0,0,0,0,https://x.com/Xsvsh404/status/1884115380622483967,,0,Xsvsh404,,prabowogibran rupiah ihsg jeblok investor asing kabur capital outflow deras,100 Hari Prabowo-Gibran: Rupiah dan IHSG Jeblok Investor Asing Kabur capital outflow keluar makin deras ‍️‍️,negative,,,,,
1.88E+18,2025-01-28 06:11:39+00:00,fxwxb,106659329,in,Kuala Lumpur,0,1,0,1,https://x.com/fxwxb/status/1884122143904129314,,0,fxwxb,,mahathir reformasi ekonomi isu underemployment fokus utama kenyataan awam tekanan kualiti pekerjaan menangani pengangguran belia berkait rapat underemployment,Mahathir: Reformasi ekonomi tapi isu underemployment tidak menjadi fokus utama dalam kenyataan awam. Tapi ada tekanan berkenaan dengan kualiti pekerjaan dan menangani pengangguran belia yang berkait rapat dengan underemployment.,neutral,,,,,
1.88E+18,2025-01-28 08:12:06+00:00,clarinta_dala,1.69E+18,in,,0,0,0,0,https://x.com/clarinta_dala/status/1884152456189497621,,0,clarinta_dala,,prabowo gibran bawa perbaikan ekonomi pendidikan,Dalam 100 hari Prabowo dan Gibran bawa banyak perbaikan dari ekonomi sampai pendidikan #100HariKerjaNyata,positive,,,,,
1.88E+18,2025-01-28 08:34:48+00:00,maryanto_huta,1.70E+18,in,,0,0,0,0,https://x.com/maryanto_huta/status/1884158170546987110,GenZNusantara,1,maryanto_huta,GenZNusantara,MENTIONEDUSER pangkas ketimpangan ekonomi langkah nyata prabowogibran pangan energi pendidikan,@GenZNusantara Pangkas ketimpangan ekonomi dengan langkah nyata Prabowo-Gibran. Dari pangan energi hingga pendidikan,positive,,,,,
